,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"Sigma[0, 0]",0.0,0.0,0.0,0.0,0.0,0.0,8.98,19.657,1.371
"Sigma[0, 1]",0.0,0.0,0.0,0.0,0.0,0.0,14.651,18.253,1.192
"Sigma[0, 2]",-0.0,0.0,-0.0,0.0,0.0,0.0,7.636,23.626,1.502
"Sigma[0, 3]",0.0,0.0,0.0,0.0,0.0,0.0,13.752,16.746,1.209
"Sigma[0, 4]",0.0,0.0,-0.0,0.0,0.0,0.0,6.711,16.76,1.6
"Sigma[0, 5]",-0.002,0.004,-0.012,0.0,0.002,0.002,5.315,11.345,2.048
"Sigma[0, 6]",-0.0,0.0,-0.0,0.0,0.0,0.0,39.932,40.733,1.204
"Sigma[0, 7]",-0.002,0.003,-0.007,0.0,0.001,0.001,5.284,18.572,2.069
"Sigma[0, 8]",-0.001,0.002,-0.004,0.0,0.001,0.0,5.068,16.696,2.222
"Sigma[1, 0]",0.0,0.0,0.0,0.0,0.0,0.0,14.651,18.253,1.192
"Sigma[1, 1]",0.0,0.0,0.0,0.0,0.0,0.0,8.891,17.084,1.369
"Sigma[1, 2]",-0.0,0.0,-0.0,0.0,0.0,0.0,6.33,26.768,1.721
"Sigma[1, 3]",0.0,0.0,0.0,0.0,0.0,0.0,28.202,15.869,1.096
"Sigma[1, 4]",0.0,0.001,0.0,0.0,0.0,0.0,6.221,15.172,1.706
"Sigma[1, 5]",-0.0,0.001,-0.003,0.0,0.0,0.0,4.866,11.159,2.419
"Sigma[1, 6]",0.0,0.0,-0.0,0.0,0.0,0.0,35.406,20.312,1.236
"Sigma[1, 7]",-0.001,0.001,-0.002,0.0,0.0,0.0,5.019,13.493,2.264
"Sigma[1, 8]",0.002,0.003,-0.001,0.008,0.002,0.001,4.657,12.684,2.724
"Sigma[2, 0]",-0.0,0.0,-0.0,0.0,0.0,0.0,7.636,23.626,1.502
"Sigma[2, 1]",-0.0,0.0,-0.0,0.0,0.0,0.0,6.33,26.768,1.721
"Sigma[2, 2]",0.0,0.0,0.0,0.0,0.0,0.0,5.737,53.803,1.912
"Sigma[2, 3]",-0.0,0.0,-0.0,-0.0,0.0,0.0,12.253,19.764,1.236
"Sigma[2, 4]",-0.0,0.0,-0.0,-0.0,0.0,0.0,7.941,25.751,1.452
"Sigma[2, 5]",-0.001,0.002,-0.006,-0.0,0.001,0.001,5.03,11.163,2.249
"Sigma[2, 6]",0.0,0.0,-0.0,0.0,0.0,0.0,28.225,18.279,1.555
"Sigma[2, 7]",-0.001,0.001,-0.003,-0.0,0.001,0.0,5.204,25.778,2.127
"Sigma[2, 8]",0.001,0.003,-0.002,0.006,0.001,0.001,4.788,15.882,2.532
"Sigma[3, 0]",0.0,0.0,0.0,0.0,0.0,0.0,13.752,16.746,1.209
"Sigma[3, 1]",0.0,0.0,0.0,0.0,0.0,0.0,28.202,15.869,1.096
"Sigma[3, 2]",-0.0,0.0,-0.0,-0.0,0.0,0.0,12.253,19.764,1.236
"Sigma[3, 3]",0.0,0.001,0.0,0.0,0.0,0.0,40.886,16.463,1.068
"Sigma[3, 4]",0.0,0.001,0.0,0.0,0.0,0.0,9.547,19.007,1.329
"Sigma[3, 5]",0.0,0.001,0.0,0.002,0.0,0.0,7.375,14.587,1.564
"Sigma[3, 6]",-0.0,0.0,-0.0,0.0,0.0,0.0,23.96,23.379,1.114
"Sigma[3, 7]",0.0,0.001,-0.0,0.002,0.0,0.0,7.571,11.443,1.568
"Sigma[3, 8]",0.0,0.001,-0.001,0.002,0.0,0.0,12.234,18.804,1.55
"Sigma[4, 0]",0.0,0.0,-0.0,0.0,0.0,0.0,6.711,16.76,1.6
"Sigma[4, 1]",0.0,0.001,0.0,0.0,0.0,0.0,6.221,15.172,1.706
"Sigma[4, 2]",-0.0,0.0,-0.0,-0.0,0.0,0.0,7.941,25.751,1.452
"Sigma[4, 3]",0.0,0.001,0.0,0.0,0.0,0.0,9.547,19.007,1.329
"Sigma[4, 4]",0.001,0.001,0.0,0.002,0.0,0.0,8.314,28.774,1.409
"Sigma[4, 5]",0.015,0.029,0.0,0.078,0.014,0.013,5.888,10.646,1.875
"Sigma[4, 6]",-0.0,0.0,-0.0,0.0,0.0,0.0,24.034,36.908,1.358
"Sigma[4, 7]",0.011,0.019,-0.0,0.048,0.009,0.006,5.953,11.99,2.029
"Sigma[4, 8]",0.006,0.01,-0.003,0.027,0.005,0.003,5.59,17.686,2.075
"Sigma[5, 0]",-0.002,0.004,-0.012,0.0,0.002,0.002,5.315,11.345,2.048
"Sigma[5, 1]",-0.0,0.001,-0.003,0.0,0.0,0.0,4.866,11.159,2.419
"Sigma[5, 2]",-0.001,0.002,-0.006,-0.0,0.001,0.001,5.03,11.163,2.249
"Sigma[5, 3]",0.0,0.001,0.0,0.002,0.0,0.0,7.375,14.587,1.564
"Sigma[5, 4]",0.015,0.029,0.0,0.078,0.014,0.013,5.888,10.646,1.875
"Sigma[5, 5]",0.806,1.646,0.0,4.769,0.794,0.793,5.072,11.372,2.208
"Sigma[5, 6]",0.0,0.0,-0.0,0.0,0.0,0.0,26.964,17.362,1.974
"Sigma[5, 7]",0.542,1.0,0.0,2.824,0.491,0.399,4.946,11.362,2.323
"Sigma[5, 8]",0.273,0.535,-0.093,1.465,0.264,0.205,4.546,11.149,2.941
"Sigma[6, 0]",-0.0,0.0,-0.0,0.0,0.0,0.0,39.932,40.733,1.204
"Sigma[6, 1]",0.0,0.0,-0.0,0.0,0.0,0.0,35.406,20.312,1.236
"Sigma[6, 2]",0.0,0.0,-0.0,0.0,0.0,0.0,28.225,18.279,1.555
"Sigma[6, 3]",-0.0,0.0,-0.0,0.0,0.0,0.0,23.96,23.379,1.114
"Sigma[6, 4]",-0.0,0.0,-0.0,0.0,0.0,0.0,24.034,36.908,1.358
"Sigma[6, 5]",0.0,0.0,-0.0,0.0,0.0,0.0,26.964,17.362,1.974
"Sigma[6, 6]",0.0,0.0,0.0,0.0,0.0,0.0,19.671,18.552,1.144
"Sigma[6, 7]",-0.0,0.0,-0.0,0.0,0.0,0.0,20.194,21.007,1.792
"Sigma[6, 8]",0.0,0.0,-0.0,0.0,0.0,0.0,53.875,18.328,1.934
"Sigma[7, 0]",-0.002,0.003,-0.007,0.0,0.001,0.001,5.284,18.572,2.069
"Sigma[7, 1]",-0.001,0.001,-0.002,0.0,0.0,0.0,5.019,13.493,2.264
"Sigma[7, 2]",-0.001,0.001,-0.003,-0.0,0.001,0.0,5.204,25.778,2.127
"Sigma[7, 3]",0.0,0.001,-0.0,0.002,0.0,0.0,7.571,11.443,1.568
"Sigma[7, 4]",0.011,0.019,-0.0,0.048,0.009,0.006,5.953,11.99,2.029
"Sigma[7, 5]",0.542,1.0,0.0,2.824,0.491,0.399,4.946,11.362,2.323
"Sigma[7, 6]",-0.0,0.0,-0.0,0.0,0.0,0.0,20.194,21.007,1.792
"Sigma[7, 7]",0.422,0.642,0.0,1.673,0.319,0.194,4.982,11.928,2.384
"Sigma[7, 8]",0.037,0.526,-0.687,0.881,0.263,0.133,4.652,11.155,2.727
"Sigma[8, 0]",-0.001,0.002,-0.004,0.0,0.001,0.0,5.068,16.696,2.222
"Sigma[8, 1]",0.002,0.003,-0.001,0.008,0.002,0.001,4.657,12.684,2.724
"Sigma[8, 2]",0.001,0.003,-0.002,0.006,0.001,0.001,4.788,15.882,2.532
"Sigma[8, 3]",0.0,0.001,-0.001,0.002,0.0,0.0,12.234,18.804,1.55
"Sigma[8, 4]",0.006,0.01,-0.003,0.027,0.005,0.003,5.59,17.686,2.075
"Sigma[8, 5]",0.273,0.535,-0.093,1.465,0.264,0.205,4.546,11.149,2.941
"Sigma[8, 6]",0.0,0.0,-0.0,0.0,0.0,0.0,53.875,18.328,1.934
"Sigma[8, 7]",0.037,0.526,-0.687,0.881,0.263,0.133,4.652,11.155,2.727
"Sigma[8, 8]",0.752,1.064,0.0,2.584,0.531,0.297,4.915,11.19,2.353
chol_L[0],0.01,0.004,0.009,0.011,0.001,0.002,8.98,19.657,1.371
chol_L[1],0.006,0.007,0.004,0.006,0.002,0.005,52.133,17.16,1.06
chol_L[2],0.011,0.001,0.01,0.012,0.0,0.0,8.39,25.275,1.413
chol_L[3],-0.0,0.001,-0.001,0.001,0.0,0.0,7.584,24.849,1.517
chol_L[4],-0.0,0.001,-0.001,0.001,0.0,0.0,5.285,36.082,2.125
chol_L[5],0.004,0.001,0.003,0.005,0.0,0.0,5.238,33.045,2.282
chol_L[6],0.004,0.008,0.002,0.003,0.002,0.006,7.294,16.851,1.513
chol_L[7],0.006,0.001,0.004,0.006,0.0,0.001,7.688,16.307,1.47
chol_L[8],-0.002,0.001,-0.003,-0.001,0.0,0.0,6.912,17.824,1.57
chol_L[9],0.006,0.001,0.006,0.006,0.0,0.0,100.325,19.239,1.033
chol_L[10],0.0,0.013,-0.019,0.004,0.005,0.006,6.691,16.762,1.602
chol_L[11],0.007,0.002,0.004,0.011,0.001,0.0,5.847,15.935,1.814
chol_L[12],-0.007,0.008,-0.023,-0.002,0.004,0.002,5.488,22.701,2.016
chol_L[13],0.007,0.001,0.005,0.008,0.0,0.0,54.06,23.935,1.203
chol_L[14],0.008,0.009,0.003,0.026,0.004,0.003,6.915,17.134,1.574
chol_L[15],-0.208,0.387,-1.061,0.051,0.191,0.145,5.279,11.372,2.07
chol_L[16],0.058,0.103,-0.018,0.281,0.051,0.036,4.538,11.126,2.964
chol_L[17],-0.229,0.401,-1.119,0.001,0.198,0.15,4.989,11.374,2.289
chol_L[18],0.001,0.022,-0.051,0.046,0.003,0.009,51.641,30.817,1.849
chol_L[19],0.293,0.541,-0.004,1.5,0.266,0.21,6.625,11.372,2.047
chol_L[20],0.046,0.068,0.003,0.193,0.033,0.023,5.097,16.627,2.226
chol_L[21],-0.0,0.0,-0.0,0.0,0.0,0.0,58.329,60.309,1.211
chol_L[22],0.0,0.0,-0.0,0.0,0.0,0.0,64.292,18.13,1.26
chol_L[23],0.0,0.0,-0.0,0.0,0.0,0.0,19.272,18.277,1.46
chol_L[24],-0.0,0.0,-0.0,0.0,0.0,0.0,65.423,21.717,1.041
chol_L[25],0.0,0.0,-0.0,0.0,0.0,0.0,14.288,45.976,1.351
chol_L[26],-0.0,0.0,-0.0,0.0,0.0,0.0,27.726,18.27,1.364
chol_L[27],0.0,0.0,0.0,0.0,0.0,0.0,65.64,30.271,1.049
chol_L[28],-0.146,0.265,-0.631,0.011,0.132,0.077,5.205,12.806,2.124
chol_L[29],0.006,0.115,-0.163,0.178,0.058,0.029,4.767,15.859,2.548
chol_L[30],-0.231,0.262,-0.663,-0.0,0.13,0.058,5.046,14.644,2.254
chol_L[31],0.001,0.02,-0.041,0.043,0.003,0.005,37.565,44.179,1.749
chol_L[32],0.209,0.363,-0.017,0.896,0.181,0.108,6.535,11.264,2.304
chol_L[33],0.093,0.105,0.001,0.262,0.052,0.023,5.198,34.692,2.206
chol_L[34],-0.0,0.002,-0.002,0.004,0.0,0.001,36.868,19.431,1.527
chol_L[35],0.011,0.013,0.004,0.039,0.006,0.004,6.139,20.478,1.752
chol_L[36],-0.086,0.14,-0.328,0.002,0.07,0.04,5.04,16.787,2.253
chol_L[37],0.184,0.262,0.004,0.649,0.131,0.074,4.898,11.128,2.374
chol_L[38],0.187,0.537,-0.342,1.086,0.268,0.147,4.691,12.163,2.745
chol_L[39],0.0,0.046,-0.055,0.095,0.012,0.022,22.916,12.346,1.886
chol_L[40],0.112,0.197,-0.034,0.483,0.098,0.056,6.575,11.283,2.252
chol_L[41],-0.229,0.434,-0.986,0.069,0.217,0.125,4.673,17.056,2.746
chol_L[42],0.0,0.008,-0.015,0.006,0.002,0.005,38.365,19.486,1.516
chol_L[43],-0.033,0.059,-0.152,0.001,0.029,0.019,6.166,14.794,1.717
chol_L[44],0.009,0.005,0.006,0.018,0.002,0.001,7.339,28.677,1.541
"chol_L_corr[0, 0]",1.0,0.0,1.0,1.0,0.0,,12000.0,12000.0,
"chol_L_corr[0, 1]",0.425,0.103,0.349,0.46,0.028,0.062,17.253,18.65,1.161
"chol_L_corr[0, 2]",-0.045,0.184,-0.179,0.266,0.076,0.049,6.696,27.835,1.651
"chol_L_corr[0, 3]",0.339,0.127,0.196,0.387,0.039,0.069,7.154,17.426,1.529
"chol_L_corr[0, 4]",0.143,0.338,-0.433,0.34,0.161,0.091,6.821,17.022,1.58
"chol_L_corr[0, 5]",0.086,0.371,-0.505,0.365,0.179,0.093,4.912,11.44,2.369
"chol_L_corr[0, 6]",-0.005,0.067,-0.175,0.104,0.01,0.021,62.126,37.607,1.242
"chol_L_corr[0, 7]",0.104,0.397,-0.505,0.438,0.194,0.087,4.924,11.248,2.349
"chol_L_corr[0, 8]",-0.033,0.312,-0.506,0.174,0.144,0.087,4.889,11.254,2.394
"chol_L_corr[1, 0]",0.425,0.103,0.349,0.46,0.028,0.062,17.253,18.65,1.161
"chol_L_corr[1, 1]",1.0,0.0,1.0,1.0,0.0,0.0,11321.388,5363.817,1.0
"chol_L_corr[1, 2]",-0.065,0.17,-0.203,0.197,0.067,0.047,6.036,31.517,1.832
"chol_L_corr[1, 3]",0.696,0.063,0.605,0.739,0.019,0.03,8.97,15.215,1.364
"chol_L_corr[1, 4]",0.5,0.242,0.049,0.669,0.117,0.065,5.266,15.342,2.075
"chol_L_corr[1, 5]",0.317,0.449,-0.257,0.766,0.223,0.025,4.898,10.95,2.378
"chol_L_corr[1, 6]",-0.033,0.098,-0.201,0.165,0.024,0.041,34.61,17.934,1.242
"chol_L_corr[1, 7]",0.316,0.531,-0.351,0.84,0.265,0.047,4.833,13.823,2.452
"chol_L_corr[1, 8]",0.329,0.255,-0.1,0.517,0.122,0.067,4.953,14.323,2.32
"chol_L_corr[2, 0]",-0.045,0.184,-0.179,0.266,0.076,0.049,6.696,27.835,1.651
"chol_L_corr[2, 1]",-0.065,0.17,-0.203,0.197,0.067,0.047,6.036,31.517,1.832
"chol_L_corr[2, 2]",1.0,0.0,1.0,1.0,0.0,0.0,9344.608,20.457,1.027
"chol_L_corr[2, 3]",-0.284,0.114,-0.374,-0.092,0.016,0.048,10.174,20.592,1.312
"chol_L_corr[2, 4]",-0.399,0.192,-0.71,-0.176,0.08,0.041,6.263,19.461,1.755
"chol_L_corr[2, 5]",-0.515,0.215,-0.781,-0.289,0.095,0.031,6.198,46.389,2.028
"chol_L_corr[2, 6]",0.171,0.179,-0.254,0.522,0.042,0.057,23.892,18.219,1.462
"chol_L_corr[2, 7]",-0.48,0.233,-0.758,-0.228,0.105,0.025,6.377,79.336,2.04
"chol_L_corr[2, 8]",0.082,0.499,-0.644,0.755,0.243,0.113,4.954,15.692,2.332
"chol_L_corr[3, 0]",0.339,0.127,0.196,0.387,0.039,0.069,7.154,17.426,1.529
"chol_L_corr[3, 1]",0.696,0.063,0.605,0.739,0.019,0.03,8.97,15.215,1.364
"chol_L_corr[3, 2]",-0.284,0.114,-0.374,-0.092,0.016,0.048,10.174,20.592,1.312
"chol_L_corr[3, 3]",1.0,0.0,1.0,1.0,0.0,0.0,11930.443,7256.004,1.0
"chol_L_corr[3, 4]",0.799,0.264,0.265,0.958,0.131,0.077,6.456,15.984,1.642
"chol_L_corr[3, 5]",0.537,0.394,0.029,0.931,0.196,0.021,5.151,15.235,2.162
"chol_L_corr[3, 6]",-0.087,0.047,-0.173,-0.008,0.01,0.01,30.412,29.244,1.095
"chol_L_corr[3, 7]",0.424,0.383,-0.107,0.809,0.189,0.024,5.143,11.685,2.162
"chol_L_corr[3, 8]",0.34,0.301,-0.114,0.648,0.146,0.033,5.292,15.413,2.062
"chol_L_corr[4, 0]",0.143,0.338,-0.433,0.34,0.161,0.091,6.821,17.022,1.58
"chol_L_corr[4, 1]",0.5,0.242,0.049,0.669,0.117,0.065,5.266,15.342,2.075
"chol_L_corr[4, 2]",-0.399,0.192,-0.71,-0.176,0.08,0.041,6.263,19.461,1.755
"chol_L_corr[4, 3]",0.799,0.264,0.265,0.958,0.131,0.077,6.456,15.984,1.642
"chol_L_corr[4, 4]",1.0,0.0,1.0,1.0,0.0,0.0,11333.749,11810.443,1.004
"chol_L_corr[4, 5]",0.731,0.289,0.182,0.997,0.143,0.082,5.253,17.062,2.083
"chol_L_corr[4, 6]",-0.046,0.142,-0.262,0.335,0.039,0.043,18.275,38.229,1.339
"chol_L_corr[4, 7]",0.624,0.345,-0.009,0.992,0.17,0.094,5.114,11.961,2.174
"chol_L_corr[4, 8]",0.513,0.37,-0.085,0.987,0.181,0.09,5.041,17.539,2.23
"chol_L_corr[5, 0]",0.086,0.371,-0.505,0.365,0.179,0.093,4.912,11.44,2.369
"chol_L_corr[5, 1]",0.317,0.449,-0.257,0.766,0.223,0.025,4.898,10.95,2.378
"chol_L_corr[5, 2]",-0.515,0.215,-0.781,-0.289,0.095,0.031,6.198,46.389,2.028
"chol_L_corr[5, 3]",0.537,0.394,0.029,0.931,0.196,0.021,5.151,15.235,2.162
"chol_L_corr[5, 4]",0.731,0.289,0.182,0.997,0.143,0.082,5.253,17.062,2.083
"chol_L_corr[5, 5]",1.0,0.0,1.0,1.0,0.0,0.0,9118.632,108.998,1.005
"chol_L_corr[5, 6]",-0.08,0.27,-0.561,0.561,0.072,0.085,15.893,18.202,1.488
"chol_L_corr[5, 7]",0.917,0.077,0.825,1.0,0.037,0.005,5.331,13.797,2.035
"chol_L_corr[5, 8]",0.313,0.761,-0.978,1.0,0.379,0.209,4.637,11.121,2.746
"chol_L_corr[6, 0]",-0.005,0.067,-0.175,0.104,0.01,0.021,62.126,37.607,1.242
"chol_L_corr[6, 1]",-0.033,0.098,-0.201,0.165,0.024,0.041,34.61,17.934,1.242
"chol_L_corr[6, 2]",0.171,0.179,-0.254,0.522,0.042,0.057,23.892,18.219,1.462
"chol_L_corr[6, 3]",-0.087,0.047,-0.173,-0.008,0.01,0.01,30.412,29.244,1.095
"chol_L_corr[6, 4]",-0.046,0.142,-0.262,0.335,0.039,0.043,18.275,38.229,1.339
"chol_L_corr[6, 5]",-0.08,0.27,-0.561,0.561,0.072,0.085,15.893,18.202,1.488
"chol_L_corr[6, 6]",1.0,0.0,1.0,1.0,0.0,0.0,11027.873,5602.592,1.0
"chol_L_corr[6, 7]",-0.072,0.273,-0.565,0.56,0.07,0.088,16.819,18.192,1.503
"chol_L_corr[6, 8]",0.085,0.261,-0.415,0.612,0.057,0.087,49.702,18.488,1.48
"chol_L_corr[7, 0]",0.104,0.397,-0.505,0.438,0.194,0.087,4.924,11.248,2.349
"chol_L_corr[7, 1]",0.316,0.531,-0.351,0.84,0.265,0.047,4.833,13.823,2.452
"chol_L_corr[7, 2]",-0.48,0.233,-0.758,-0.228,0.105,0.025,6.377,79.336,2.04
"chol_L_corr[7, 3]",0.424,0.383,-0.107,0.809,0.189,0.024,5.143,11.685,2.162
"chol_L_corr[7, 4]",0.624,0.345,-0.009,0.992,0.17,0.094,5.114,11.961,2.174
"chol_L_corr[7, 5]",0.917,0.077,0.825,1.0,0.037,0.005,5.331,13.797,2.035
"chol_L_corr[7, 6]",-0.072,0.273,-0.565,0.56,0.07,0.088,16.819,18.192,1.503
"chol_L_corr[7, 7]",1.0,0.0,1.0,1.0,0.0,0.0,11264.59,59.007,1.021
"chol_L_corr[7, 8]",0.265,0.76,-1.0,1.0,0.378,0.204,4.756,16.245,2.565
"chol_L_corr[8, 0]",-0.033,0.312,-0.506,0.174,0.144,0.087,4.889,11.254,2.394
"chol_L_corr[8, 1]",0.329,0.255,-0.1,0.517,0.122,0.067,4.953,14.323,2.32
"chol_L_corr[8, 2]",0.082,0.499,-0.644,0.755,0.243,0.113,4.954,15.692,2.332
"chol_L_corr[8, 3]",0.34,0.301,-0.114,0.648,0.146,0.033,5.292,15.413,2.062
"chol_L_corr[8, 4]",0.513,0.37,-0.085,0.987,0.181,0.09,5.041,17.539,2.23
"chol_L_corr[8, 5]",0.313,0.761,-0.978,1.0,0.379,0.209,4.637,11.121,2.746
"chol_L_corr[8, 6]",0.085,0.261,-0.415,0.612,0.057,0.087,49.702,18.488,1.48
"chol_L_corr[8, 7]",0.265,0.76,-1.0,1.0,0.378,0.204,4.756,16.245,2.565
"chol_L_corr[8, 8]",1.0,0.0,1.0,1.0,0.0,0.0,10450.308,45.735,1.004
chol_L_stds[0],0.01,0.004,0.009,0.011,0.001,0.002,8.98,19.657,1.371
chol_L_stds[1],0.013,0.006,0.011,0.013,0.002,0.004,8.891,17.084,1.369
chol_L_stds[2],0.004,0.001,0.003,0.005,0.0,0.0,5.737,53.803,1.847
chol_L_stds[3],0.01,0.008,0.008,0.009,0.002,0.005,40.886,16.463,1.068
chol_L_stds[4],0.018,0.014,0.009,0.042,0.006,0.003,8.314,28.774,1.41
chol_L_stds[5],0.444,0.78,0.008,2.184,0.385,0.298,5.072,11.372,2.214
chol_L_stds[6],0.0,0.0,0.0,0.0,0.0,0.0,19.671,18.552,1.144
chol_L_stds[7],0.417,0.499,0.008,1.294,0.249,0.127,4.982,11.928,2.294
chol_L_stds[8],0.572,0.652,0.009,1.608,0.325,0.149,4.915,11.19,2.565
mu[0],-0.001,0.0,-0.002,0.0,0.0,0.0,7.27,19.802,1.519
mu[1],-0.0,0.001,-0.002,0.001,0.0,0.0,7.231,32.944,1.554
mu[2],-0.0,0.001,-0.001,0.0,0.0,0.0,5.218,28.786,2.111
mu[3],0.0,0.0,-0.0,0.001,0.0,0.0,43.095,74.937,1.064
mu[4],0.002,0.002,-0.0,0.007,0.001,0.001,6.625,37.48,1.612
mu[5],0.069,0.113,-0.001,0.301,0.056,0.037,4.983,11.327,2.288
mu[6],0.0,0.0,-0.0,0.0,0.0,0.0,46.936,18.413,1.315
mu[7],0.086,0.087,-0.001,0.209,0.044,0.009,5.007,13.107,2.744
mu[8],-0.118,0.269,-0.594,0.128,0.134,0.076,4.678,11.327,2.678
